Image,Caption
./input/test/2072574835_febf0c5fb9.jpg,two dogs are racing on track
./input/test/2073756099_7e02c0110c.jpg,a dog is jumping into the water
./input/test/2085557551_7a88d01d4e.jpg,a man in red shirt is holding his head in the air
./input/test/2088532947_c628e44c4a.jpg,a girl is holding her hair in the grass
./input/test/2089122314_40d5739aef.jpg,a dog is running through the grass
./input/test/2090386465_b6ebb7df2c.jpg,a man in red shirt and white shirt and hat and hat and hat and woman in red jacket and hat and hat and hat and hat and hat and hat and hat and
./input/test/2095007523_591f255708.jpg,a baby is sitting on the floor
./input/test/2095444126_201ff9f222.jpg,a black dog is running in the air
./input/test/2095478050_736c4d2d28.jpg,two girls are playing in the park
./input/test/2097489021_ca1b9f5c3b.jpg,a girl in pink shirt is wearing pink shirt
./input/test/2098646162_e3b3bbf14c.jpg,a man is sitting on the air
./input/test/2103361407_4ed4fc46bf.jpg,two children are sitting on bench
./input/test/210686241_b8e069fff3.jpg,a man in blue shirt is standing in front of the water
./input/test/2107837987_ffecfc367a.jpg,a boy is standing on the beach
./input/test/2109370875_05241bdda7.jpg,a man in red jacket is standing in front of the camera
./input/test/2115631346_9585a479b0.jpg,a brown dog is running through the snow
./input/test/2119302248_72493d458c.jpg,a woman in red hat is wearing red hat
./input/test/2120469056_7a738413be.jpg,a man in red shirt is playing in the water
./input/test/2142232919_c857a09dd7.jpg,a black dog is running through the grass
./input/test/2144049642_070cf541b4.jpg,a girl in blue shirt is sitting on the wall
./input/test/2158247955_484f0a1f11.jpg,a dog is running through the snow
./input/test/2165461920_1a4144eb2b.jpg,a black dog is running in the air
./input/test/217838128_1f0a84ddc1.jpg,a man is standing on the water
./input/test/2186367337_0ce9ce2104.jpg,a black dog is running on the beach
./input/test/2187720319_112d00f07d.jpg,a black dog is running through the water
./input/test/2191329761_3effd856c5.jpg,two greyhounds are racing on track
./input/test/2192333873_2a0cbe849d.jpg,a person in red jacket is standing in the snow
./input/test/219301553_d2fffe9e0c.jpg,a man in red shirt is climbing rock
./input/test/2194286203_5dc620006a.jpg,a boy is playing in the sand
./input/test/2194495372_bdac7d9e71.jpg,a group of men are playing soccer
./input/test/2196846255_2c1635359a.jpg,a brown dog is running through the water
./input/test/2199250692_a16b0c2ae1.jpg,a man in red shirt is standing in the air
./input/test/2200901777_f6c168bd32.jpg,a woman in red shirt is wearing red shirt
./input/test/2204695848_3d1b140212.jpg,a woman in black shirt is wearing black shirt
./input/test/2205328215_3ffc094cde.jpg,a man in red shirt is riding bike in the woods
./input/test/2209496328_2a34fd201d.jpg,a dog is running through the water
./input/test/2216568822_84c295c3b0.jpg,a man in red jacket is wearing red shirt
./input/test/2218609886_892dcd6915.jpg,a man in red shirt is sitting on the sidewalk
./input/test/2222186636_85e03e0b75.jpg,a group of people are sitting in front of the art
./input/test/222759342_98294380fc.jpg,a man is eating the camera
./input/test/223299137_b0e81ac145.jpg,a boat is standing on the water
./input/test/2236016316_f476cbbf06.jpg,a boy in red shirt is playing in the air
./input/test/2243904502_2d265fed80.jpg,a dog is running through the grass
./input/test/2245916742_73af13c733.jpg,a man is standing on the grass
./input/test/2246717855_c0c08fe5d2.jpg,a man in red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red
./input/test/2252635585_b48b3485b0.jpg,a dog is running through snow
./input/test/2258951972_92763fddab.jpg,a black dog is running through the grass
./input/test/2261962622_e9318a95eb.jpg,a man in black shirt is playing guitar
./input/test/2267819545_446c5a3e18.jpg,a man in red shirt is holding his hand in the air
./input/test/2267923837_ae88678497.jpg,two children are playing in the water
./input/test/2275372714_017c269742.jpg,a boy in red shirt is playing in the water
./input/test/2277299634_e14bdb7ff7.jpg,a man in black shirt is standing on the street
./input/test/2281054343_95d6d3b882.jpg,a man in red hat and white hat is standing in front of the street
./input/test/2282260240_55387258de.jpg,a girl is playing in the air
./input/test/2285570521_05015cbf4b.jpg,a skier is skiing in snow
./input/test/2293424366_7b5fcd2398.jpg,a basketball player in red uniform is playing basketball
./input/test/2294688426_96c8614f1d.jpg,a man wearing blue shirt is standing on the street
./input/test/2303951441_3c8080907a.jpg,a black dog is running through the grass
./input/test/2313822078_282dc07531.jpg,a young girl in red shirt is sitting on the grass
./input/test/2315418282_80bd0bb1c0.jpg,two dogs are playing in the snow
./input/test/2319808437_bbbdc317c0.jpg,a man in red jacket is running through the grass
./input/test/2321466753_5606a10721.jpg,a baby sitting on the seat of the seat of the seat of the shopping
./input/test/2325258180_6217dd17eb.jpg,a brown dog is laying on the carpet
./input/test/2330062180_355ccbceb5.jpg,a dog is running through the snow
./input/test/2335634931_7e9e8c2959.jpg,a man is jumping over the grass
./input/test/2337919839_df83827fa0.jpg,a boy in red shirt is playing soccer
./input/test/2340206885_58754a799a.jpg,two dogs are playing in the snow
./input/test/2345984157_724823b1e4.jpg,a brown dog is running through the grass
./input/test/2351479551_e8820a1ff3.jpg,a man is jumping over the air
./input/test/2351762979_0941aecced.jpg,a girl in pink shirt is jumping on the sidewalk
./input/test/2363100645_c3423a0433.jpg,a girl in red shirt is standing on the ground
./input/test/2366643786_9c9a830db8.jpg,a man is jumping on the air on the air
./input/test/236730743_0d4fd8de5a.jpg,a man is riding boat in the water
./input/test/2367318629_b60cf4c4b3.jpg,a woman in red and white and white and white and white and white and white and white and white and white and white hat and white and white and white and white and
./input/test/2371749487_d80195a2e7.jpg,a group of people are riding on the atv
./input/test/2371809188_b805497cba.jpg,a man is climbing rock climbing
./input/test/2379150102_157d718d1d.jpg,a dog is running through the grass
./input/test/2380464803_a64f05bfa9.jpg,a man in red shirt and white shirt and white shirt and white shirt and white shirt and sunglasses and white shirt and sunglasses and white shirt and sunglasses and white shirt and white
./input/test/2382411771_a16145f345.jpg,a black dog is running through the air
./input/test/2394824046_51cec8e5e7.jpg,a man in white shirt is sitting on the the air in the air
./input/test/2398605966_1d0c9e6a20.jpg,a black dog is running in the snow
./input/test/2400958566_4e09424046.jpg,a man is standing on rock
./input/test/241345811_46b5f157d4.jpg,a football player in red jersey is in the air
./input/test/241346471_c756a8f139.jpg,a football player in red jersey is playing in the field
./input/test/2417341107_97dbab9c5e.jpg,a man in blue shorts is jumping on the beach
./input/test/2419186511_f0ce5f9685.jpg,a little girl is playing in the water
./input/test/242558556_12f4d1cabc.jpg,a woman in sunglasses and sunglasses and sunglasses and sunglasses and white hair and sunglasses and sunglasses and white hair and sunglasses and sunglasses
./input/test/2426215757_e008a91fcb.jpg,a man in red jacket is wakeboarding in the water
./input/test/2428094795_d3a8f46046.jpg,a child is riding on the ground
./input/test/2428797297_7fc3c862db.jpg,a black dog is laying on the grass
./input/test/2429272699_8a9699775e.jpg,a girl in red shirt is running on the sidewalk
./input/test/2439031566_2e0c0d3550.jpg,a man in red shirt and red shirt is riding motorcycle on the street
./input/test/2445783904_e6c38a3a3d.jpg,a brown dog is running through the grass
./input/test/244910130_e1f823a28a.jpg,a man in red shirt is standing on the grass
./input/test/2451114871_8617ae2f16.jpg,a black and white dog is running on track
./input/test/2458033289_f0616879df.jpg,a man in white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2462702522_1b25654762.jpg,a boy is sitting on the bed
./input/test/2465218087_fca77998c6.jpg,a man is standing in the water
./input/test/2471493912_2d4746b834.jpg,a boy in red shirt is playing in the air
./input/test/2473738924_eca928d12f.jpg,two men are wearing red arts
./input/test/247691240_3881777ab8.jpg,a man is climbing rock climbing
./input/test/2477121456_1ac5c6d3e4.jpg,a black dog is running through the water
./input/test/2479652566_8f9fac8af5.jpg,a young girl is sitting on the wall
./input/test/2481490320_7978c76271.jpg,a man is kayaking in the water
./input/test/2483993772_f64e9e4724.jpg,a black dog is playing with black dog
./input/test/2490179961_e842fda5eb.jpg,a girl in red shirt is smiling
./input/test/2490768374_45d94fc658.jpg,a girl in pink dress is playing in the grass
./input/test/2492258999_5764124bba.jpg,a man is standing on the sidewalk
./input/test/2495931537_9b8d4474b6.jpg,a brown dog is laying on the carpet
./input/test/2497074804_b4f3e7fd90.jpg,a man in black shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2501742763_b2cb322087.jpg,a black dog is running through the grass
./input/test/2502835694_4fe121bbea.jpg,a group of people are standing in front of the street
./input/test/2504277798_936a09c74d.jpg,a woman in red shirt is standing in the air
./input/test/2507312812_768b53b023.jpg,two dogs are running in the beach
./input/test/2510020918_b2ca0fb2aa.jpg,a boy is sliding down slide
./input/test/2510560080_1439fe32f2.jpg,a man is riding horse on horse
./input/test/2513260012_03d33305cf.jpg,two dogs are running through the snow
./input/test/2518853257_02f30e282e.jpg,a man sitting on bench in front of the building
./input/test/2521062020_f8b983e4b2.jpg,a man in red shirt is playing in the air
./input/test/2525666287_638ab5e784.jpg,a man sitting on the bench in the street
./input/test/2528552898_9e49a7033f.jpg,a race car is riding race
./input/test/2534652796_c8a23288ab.jpg,a little girl in red shirt is playing in the grass
./input/test/2537119659_fa01dd5de5.jpg,a man in red shirt is riding on the beach
./input/test/2537583012_4a358a6a8a.jpg,a man in red shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2542662402_d781dd7f7c.jpg,a dog is jumping over the fence
./input/test/2544182005_3aa1332bf9.jpg,a man riding bike on bicycle
./input/test/2550011909_6b95f11330.jpg,a man in red shirt is sitting on the air
./input/test/2555622234_3e531e4014.jpg,a dog is running in the beach
./input/test/2564663851_3a9832e4fc.jpg,a man in red shirt is playing in the water
./input/test/2565350330_c7f305e7f7.jpg,a man in black shirt and white shirt and black and white shirt and black and white and white and white and white and white and white and white and white and white dog
./input/test/2570365455_41cc9a7d2b.jpg,a man in blue shirt is holding his head
./input/test/2570559405_dc93007f76.jpg,a brown dog is running through the grass
./input/test/2578003921_e23b78e85f.jpg,a man in red shirt is walking through the woods
./input/test/2579268572_d78f8436cb.jpg,a group of people are riding on the park
./input/test/2583001715_1ce6f58942.jpg,a man in red uniform is playing soccer in the air
./input/test/2587818583_4aa8e7b174.jpg,a boy in red shirt is playing in the air
./input/test/2592019072_a6c0090da4.jpg,a woman in red shirt is running in the grass
./input/test/2592711202_55f8c64495.jpg,a girl in pink shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2594459477_8ca0121a9a.jpg,a woman in red shirt is running through the air
./input/test/2598979962_c01811cfca.jpg,a man in white shirt is playing in the air
./input/test/2599903773_0f724d8f63.jpg,a young boy in blue shirt is blowing bubbles
./input/test/2600386812_8790879d9a.jpg,a dog is running through the water
./input/test/2606433181_f8f9d38579.jpg,a dog running through the grass
./input/test/2609836649_b55831ed41.jpg,a dog swims in the water
./input/test/2612949583_f45b3afe33.jpg,a man in red shirt is standing on the street
./input/test/2616284322_b13e7c344e.jpg,a man in red shirt is riding on track
./input/test/2616643090_4f2d2d1a44.jpg,a girl in blue shirt is in the grass
./input/test/2618866067_07cbc83dc5.jpg,a brown dog is running in the grass
./input/test/263231469_e85c74f5fd.jpg,a woman in red jacket is standing in the air in the background
./input/test/2635908229_b9fc90d3fb.jpg,a man is standing on the beach
./input/test/2640000969_b5404a5143.jpg,a man is jumping into pool
./input/test/2641770481_c98465ff35.jpg,a man is riding the water
./input/test/2643309379_2cde08516c.jpg,a girl in pink shirt is standing on the grass
./input/test/2644326817_8f45080b87.jpg,a black dog is running in the air
./input/test/2654514044_a70a6e2c21.jpg,a brown dog is running through the grass
./input/test/2656987333_80dcc82c05.jpg,a man in white and white and white and white and white and white and white horse is riding horse
./input/test/2657301826_aab4c36e6c.jpg,a boy in blue shirt is wearing blue shirt and blue shirt and blue shirt is wearing blue shirt
./input/test/2657484970_610e18144f.jpg,a man is rowing canoe in the water
./input/test/2662816021_ac474e0fde.jpg,a dog is running through water
./input/test/2662890367_382eaf83bd.jpg,a dog is running through the grass
./input/test/2663794355_e726ec7e05.jpg,a woman is sitting on the beach
./input/test/2665264979_df9c284bf8.jpg,a girl in pink shirt is playing in the grass
./input/test/267015208_d80b3eb94d.jpg,a group of people are standing in the street
./input/test/2672445419_251ce9419a.jpg,a boy in blue shirt is standing on the playground
./input/test/2676651833_3bb42bbb32.jpg,a girl in pink shirt is jumping on the sidewalk
./input/test/2676937700_456134c7b5.jpg,a man in black shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2677614492_792023b928.jpg,a white dog is jumping over hurdle
./input/test/2683985894_167d267dcb.jpg,a man in red shirt and blue shirt is standing on the grass
./input/test/2684322797_85406f571d.jpg,a woman in red shirt and black and white and white and white and white and white and white and white and white and white and white and white and white and white and
./input/test/2687229880_97cfd8148e.jpg,a woman in black shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2688902319_52ceaf4a2a.jpg,a man in red shirt is standing in front of the street
./input/test/2693539377_5442430f81.jpg,a man in red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red shirt and red
./input/test/2697909987_128f11d1b7.jpg,a man in red shirt is sitting on the wall of the window of the building
./input/test/2698119128_62b4741043.jpg,a girl in blue bathing suit is swimming in pool
./input/test/269898095_d00ac7d7a4.jpg,a man and woman are standing on the sidewalk
./input/test/2704257993_d485058a5f.jpg,a girl in red shirt is skating on the ice
./input/test/270724499_107481c88f.jpg,a white dog runs through field
./input/test/2719102611_fef453bf30.jpg,a man in red shirt is riding on the road
./input/test/272283076_2d4aa1d5cf.jpg,a boy is jumping in the air
./input/test/2723477522_d89f5ac62b.jpg,two dogs are running through the grass
./input/test/2730994020_64ac1d18be.jpg,a black and white dog is running through the grass
./input/test/2734219983_fe86a60bf9.jpg,a woman in red shirt is standing in front of the water
./input/test/2735558076_0d7bbc18fc.jpg,a man in red shirt is sitting on the street
./input/test/2744321686_8811d8428c.jpg,a man and woman sitting on the bench
./input/test/2744705147_acd767d3eb.jpg,a woman and woman are posing for picture
./input/test/275002371_5b200e6a92.jpg,a brown dog is running through the grass
./input/test/2751567262_e089b33ed9.jpg,a man in white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2753531542_ace2c870b7.jpg,a man is climbing rock
./input/test/2760715910_87c7bdeb87.jpg,a woman in red shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white
./input/test/2762702644_2aa3bf9680.jpg,a woman in red shirt is standing on the sidewalk
./input/test/2763044275_aa498eb88b.jpg,two dogs are running through the grass
./input/test/2768021570_46bc6325e3.jpg,a man is jumping over the air
./input/test/2774362575_7543b8bf19.jpg,a black dog is standing on the grass
./input/test/2778290592_1910bb0431.jpg,a dog is running through the grass
./input/test/2782433864_5a0c311d87.jpg,two dogs are running through the sand
./input/test/2785115802_137fa30000.jpg,a black dog is swimming in the water
./input/test/2788628994_61123c03d2.jpg,a man in red shirt is standing on the rocks
./input/test/2788945468_74a9618cfa.jpg,a man in blue shirt and hat and hat and hat and hat and hat and hat and hat and hat and hat and hat and hat and hat and hat and hat and
./input/test/2804851816_9aae9071ca.jpg,a brown dog is running through the grass
./input/test/2807177340_bc85291df5.jpg,a man in red shirt is standing on the railing
./input/test/2813588204_69fe7deb14.jpg,two greyhounds racing on track
./input/test/2830880811_d7f66dd2cf.jpg,a brown dog is running through the grass
./input/test/2832487464_2d30634e1e.jpg,a black dog is jumping over the grass
./input/test/2833431496_09d999db4d.jpg,a man is sitting on the wall
./input/test/283428775_a3665bee7c.jpg,a black dog is running through the grass
./input/test/2836864045_9a093cfd65.jpg,a dog is running in the air in the air
./input/test/2837808847_5407af1986.jpg,two dogs are running through the beach
./input/test/2844641033_dab3715a99.jpg,a boy in blue shirt is swimming in the water
./input/test/2844846111_8c1cbfc75d.jpg,a man is climbing rock climbing
./input/test/2845845721_d0bc113ff7.jpg,a boy in red uniform is playing in the grass
./input/test/2853205396_4fbe8d7a73.jpg,a black dog is running through the water
./input/test/2854291706_d4c31dbf56.jpg,a man in red shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue shirt and blue
./input/test/2856699493_65edef80a1.jpg,a man in red jacket is standing on the street
./input/test/2856700531_312528eea4.jpg,a man in white shirt is sitting on the sidewalk
./input/test/2857558098_98e9249284.jpg,a black dog is running through the air
./input/test/2858759108_6e697c5f3e.jpg,a black and white dog is running on the track
./input/test/2860872588_f2c7b30e1a.jpg,a dog is running on the grass
./input/test/2861100960_457ceda7fa.jpg,a man in red hat and white hat is standing in front of the street
./input/test/2864634088_d087494dff.jpg,a group of people are riding bicycles in the air
./input/test/2866686547_0a67eb899d.jpg,a man in red shirt is playing in the grass
./input/test/2867968184_908d87cf2c.jpg,a man is doing skateboard trick on skateboard
./input/test/2868324804_5cc8030484.jpg,a boy in red shirt is playing in the air
./input/test/2868668723_0741222b23.jpg,a man in red shirt is riding on swing
./input/test/2873522522_829ea62491.jpg,a man in red uniform is playing in the field
./input/test/2873648844_8efc7d78f1.jpg,a brown dog is running through the grass
./input/test/2876494009_9f96d7eaf2.jpg,a man in red shirt is doing trick on ramp
./input/test/2876994989_a4ebbd8491.jpg,a man in red shirt is wearing red shirt
./input/test/2877159456_ea4a46b0d2.jpg,a man in red and black and black and black and white and black and white and white and white and white and white and white and white and white and white and white
./input/test/2880874989_a33b632924.jpg,a little girl is playing in the air
./input/test/288177922_b889f2e1fe.jpg,a group of people are playing in the street
./input/test/2882743431_c3e6cd1b5c.jpg,two dogs are playing in the grass
./input/test/2882893687_1d10d68f2b.jpg,a little girl is running on the grass
./input/test/2884092603_786b53a74b.jpg,a woman in red shirt and white shirt and white shirt and white shirt and white shirt and white shirt and red shirt and red shirt and red shirt and red shirt and red
./input/test/2884301336_dc8e974431.jpg,a dog is jumping in the water
./input/test/2884420269_225d27f242.jpg,a girl in red shirt is jumping on the sidewalk
./input/test/288508162_1727873924.jpg,a black dog is running in the snow
./input/test/288880576_818b6ecfef.jpg,a person is climbing on rock
./input/test/2895966469_53e0b29295.jpg,a man is waterskiing in the water
./input/test/2898304260_a4099a193a.jpg,a man is doing trick on skateboard
./input/test/2899374885_f3b2b1a290.jpg,a girl in red shirt is in the water
./input/test/2901074943_041aba4607.jpg,a girl is playing in the air
./input/test/2902844125_4186bf3ab6.jpg,a man in red shirt is doing trick on the air
./input/test/2905975229_7c37156dbe.jpg,a man in white shirt is riding on the road
./input/test/2906054175_e33af79522.jpg,a group of people are standing in the air in the air
./input/test/290650302_ade636da35.jpg,a woman in red jacket is standing in front of the street
./input/test/2909811789_ed8f3fd972.jpg,a man is performing trick on bike
./input/test/2911107495_e3cec16a24.jpg,a man in red shirt is doing skateboard trick on the air
./input/test/2911928620_06c3fa293e.jpg,a man in red motorcycle is riding motorcycle
./input/test/2913965136_2d00136697.jpg,a man in red shirt is playing soccer
./input/test/2918769188_565dd48060.jpg,a man in red goggles is wearing red goggles
./input/test/2921578694_a46ae0d313.jpg,a man is surfing in the air
./input/test/293327462_20dee0de56.jpg,a brown dog is jumping over the grass
./input/test/2937497894_e3664a9513.jpg,a man in red shirt is performing trick in the air
./input/test/2938120171_970564e3d8.jpg,a brown dog is playing in the grass
./input/test/293881927_ac62900fd4.jpg,a brown dog is running through the water
./input/test/2940366012_1ef8ab334e.jpg,a man in helmet is riding bike on the bike
./input/test/2942311160_a154104c62.jpg,a man is riding dirt bike on the sand
./input/test/2943079526_e9033a6556.jpg,a man in white jacket and white hat and white hat and white hat and white and white and white and white and white and white and white and white and white and white
./input/test/2945036454_280fa5b29f.jpg,a dog is jumping over the grass
./input/test/2947172114_b591f84163.jpg,a football player in red jersey is wearing red jersey
./input/test/2949014128_0d96196261.jpg,two men are playing soccer
./input/test/295258727_eaf75e0887.jpg,a dog is running in the grass
./input/test/2972929655_04233b5489.jpg,a man in blue shirt is standing on the beach
./input/test/2977379863_2e8d7a104e.jpg,a woman in red shirt and white shirt and white and white and white and white and white and white and white and white and white and white and white haired woman in red
./input/test/2980348138_91cc6f6d0f.jpg,a man in red shirt is riding on the dirt hill
./input/test/2986671935_0c60bbb3fa.jpg,a group of people are riding on the road
./input/test/2991771557_d98fa0a69f.jpg,a man in red jacket is performing trick in the air
./input/test/300274198_eefd8e057e.jpg,a brown dog is running in the grass
./input/test/3004823335_9b82cbd8a7.jpg,a dog is running through the grass
./input/test/300577375_26cc2773a1.jpg,a man in red and red and red and red and red and red and red and red and red and red and red and red and red and red and red and red
./input/test/3006095077_1992b677f8.jpg,a man in black shirt and white shirt and white shirt and white hat and white hat and sunglasses and sunglasses and white hat and sunglasses and sunglasses and sunglasses and sunglasses and glasses
./input/test/3006217970_90b42e6b27.jpg,a man in red and white race car
./input/test/3009383694_e045c6169e.jpg,a man is jumping over the air over the air
./input/test/3015863181_92ff43f4d8.jpg,a man in red shirt is standing in front of the street
./input/test/3017373346_3a34c3fe9d.jpg,two dogs are running in the sand
./input/test/3021780428_497542a072.jpg,a man is riding his bike on the street
./input/test/3024022266_3528c16ed8.jpg,a surfer is surfing in the ocean
./input/test/3024172109_a10198e1dd.jpg,a skateboarder is doing trick on the air
./input/test/3030079705_0dee8a3e89.jpg,a girl in red shirt is sitting on the grass
./input/test/3031263767_2e3856130e.jpg,a woman in red shirt is walking through the water
./input/test/3033668641_5905f73990.jpg,a man is climbing rock wall
./input/test/3035785330_2fd5e32bb1.jpg,a man in white shirt is sitting on the couch
./input/test/3036596725_541bbe0955.jpg,a black dog is running through the air
./input/test/3039214579_43ef79f931.jpg,a man in red shirt is riding bike in the street
./input/test/3042679440_010b2c596c.jpg,a woman in red and white and white and white and white and white and white and white and white and white and white and white and white and white and white and white
./input/test/3043266735_904dda6ded.jpg,a man in red shirt is sitting on the street
./input/test/3047751696_78c2efe5e6.jpg,a woman in blue shirt is sitting on the camera
./input/test/3051125715_db76cebd1e.jpg,a man in red shorts is riding the beach
./input/test/3060594966_030658d318.jpg,a man in red shirt is standing on the street
./input/test/3060969260_08f43e4f4f.jpg,a man in red shirt is riding bike in the air
./input/test/3065468339_4955e90fd3.jpg,a black dog is running through the grass
./input/test/3068407619_5207b26986.jpg,a man is surfing on the beach
./input/test/3069216757_c419b3898e.jpg,a girl in pink shirt is in the air
./input/test/3069282021_e05e1829f3.jpg,two horses are racing on race
./input/test/3073579130_7c95d16a7f.jpg,a man in red hat is standing in the background
./input/test/3077166963_fe172c709d.jpg,a woman in blue shirt is standing on the path
./input/test/308307853_5a51fbdecc.jpg,a white dog is running through the sand
